Player name,Joined,Last Online,Scraping time,Last Online chess.com server time
OirdS,"Dec 5, 2022",9 hours ago,2023-04-04 09:36:00,2023-04-03 05:36:00
maririno,"Nov 12, 2022",23 days ago,2023-04-04 09:36:05,2023-03-11 14:36:05
Ectogram,"Feb 22, 2022",Just now,2023-04-04 09:36:10,2023-04-03 14:36:10
dkfjqoxddlsl,"Feb 20, 2023",9 hours ago,2023-04-04 09:36:15,2023-04-03 05:36:15
Slyx2,"Dec 26, 2022",1 day ago,2023-04-04 09:36:20,2023-04-02 14:36:20
sahar04ek,"Dec 25, 2022",Just now,2023-04-04 09:36:24,2023-04-03 14:36:24
username_already_taken22,"Dec 17, 2022","Jan 8, 2023",2023-04-04 09:36:29,2023-01-08 00:00:00
Knxxy,"Oct 6, 2022",1 day ago,2023-04-04 09:36:34,2023-04-02 14:36:34
Bawand73,"Oct 5, 2022",6 days ago,2023-04-04 09:36:38,2023-03-28 14:36:38
gamegengo,"Sep 24, 2022","Nov 18, 2022",2023-04-04 09:36:43,2022-11-18 00:00:00
YeYint13,"Aug 24, 2022",17 days ago,2023-04-04 09:36:48,2023-03-17 14:36:48
Juwar1,"Jul 17, 2022","Dec 31, 2022",2023-04-04 09:36:53,2022-12-31 00:00:00
justin0301B,"Jun 26, 2022","Mar 2, 2023",2023-04-04 09:36:57,2023-03-02 00:00:00
EyQuePasa,"Feb 14, 2023",Online Now,2023-04-04 09:37:02,2023-04-03 14:37:02
mavericknmk15,"Sep 28, 2022",7 hours ago,2023-04-04 09:37:08,2023-04-03 07:37:08
qpqpwpqp,"Jun 8, 2022",1 day ago,2023-04-04 09:37:13,2023-04-02 14:37:13
Tokage0810,"May 24, 2022",Just now,2023-04-04 09:37:17,2023-04-03 14:37:17
34Tomoko,"Jun 30, 2022","Jul 19, 2022",2023-04-04 09:37:22,2022-07-19 00:00:00
archiesolos,"Dec 6, 2022",Just now,2023-04-04 09:37:26,2023-04-03 14:37:26
birem,"Jul 28, 2022","Aug 7, 2022",2023-04-04 09:37:31,2022-08-07 00:00:00
mikeysunn,"Dec 24, 2022",8 days ago,2023-04-04 09:37:36,2023-03-26 14:37:36
