Player name,Rating,Won,Draw,Lost
Shadowaoioni,1608,1137,69,1074
Cheesey_Kitty,1606,357,16,321
Markandeya7,1606,122,10,80
SlowButSeriousMoves,1606,308,18,267
kou_kkun,1606,813,59,740
Just_Apple,1606,35,3,16
mmmopig,1605,991,65,930
naominnn,1605,2915,207,2754
wanwan0308,1605,734,35,717
hayashibe,1605,,,
You_Better_Go_Home,1605,107,14,64
bong1101,1604,1380,28,1354
ElSerpientee,1604,243,23,183
mattdrilon,1603,1143,70,1035
FantomRetard,1603,733,37,637
TheOfferMan,1603,869,77,887
hitobito95,1602,761,65,582
kisame510,1602,490,18,422
gwanjaa,1601,58,1,27
EvaTaco,1600,290,35,337
guesspeace,1600,170,9,177
ishizukaakariskappa,1600,11,0,13
KoseIshiguro,1600,2329,203,2246
mb23,1599,9564,419,9584
l-an9le-l,1598,1297,81,1316
TopaLeeks,1598,184,12,152
YoruNeru,1597,92,7,76
ERALDCOIL,1594,2024,115,1965
Rei-Hino,1594,17,0,3
Joukei,1592,21,0,12
A-S-H-U-R-A,1592,50,1,21
proactionreplay,1590,203,6,170
MorningWalk123,1590,705,80,641
setsunateki,1590,200,11,85
dpuiremdke,1589,6415,301,7023
yuki338,1587,290,15,294
Erina_Chan,1587,353,24,396
kamiyakumo,1586,1612,115,1562
BABY_METAL,1585,130,9,125
Azleaf-007,1585,365,22,399
yasux,1585,4020,180,3841
godsiodnI9,1585,650,37,617
The_Emperor_Ghost,1585,49,3,53
Im_Durachok,1584,19,0,8
takadajanaiyo,1584,372,26,331
nosilmot,1583,181,7,47
wataroo,1583,101,11,86
takaoandrew,1582,1024,76,1065
Metwuna,1581,565,50,458
Raitora,1581,253,18,174
HiroChessK,1580,866,82,748
almikur,1579,8296,346,8150
8R0LY,1579,339,4,69
Ustanak_a,1578,207,22,139
DanArnett2022,1578,110,20,96
Zynn_Kawata,1578,77,3,75
RinkoChan,1577,653,18,598
rye_xx,1576,812,43,759
ChessTimeTies,1575,37,4,11
Oshima-321,1574,638,23,559
gk2336,1574,9467,237,9384
Remember49,1574,,,
mas_bluk,1573,634,50,561
grayskywalker,1573,164,5,142
Akaii_Hinami,1573,1450,148,1590
Kaichou24,1572,193,4,69
Sean-Musashi,1572,16,0,12
SkadiAlter,1570,102,7,49
sageui,1569,1971,183,1735
nikitagerych,1569,1070,104,1099
Panderplayz,1568,1054,71,1040
Ohi-sama,1568,758,84,681
Terry_26,1568,344,20,318
takamatsumaru,1567,2782,212,2561
oniku3ko,1567,154,9,95
Joey_JoJo_JrShabadoo,1566,1211,62,1169
KubotaA19,1566,4238,287,4128
karusama24,1566,1153,116,1126
tsunamayo,1565,44,0,27
stop2go,1563,417,18,350
Symbols0,1563,190,11,151
yosiikuzo,1563,184,10,118
zer0proof,1562,3244,123,3023
javasox,1562,9293,318,9098
MinaNoYoshi,1562,485,15,473
turtlemasterjohn303,1561,77,8,142
mutaito-st,1561,20,0,23
sora3134,1560,248,7,230
mugenmori,1560,6642,384,6400
oldflamingoo,1560,249,18,208
777nagibator777,1559,462,16,422
lucianoska,1558,167,16,126
I_am_very_sleepy_now,1557,81,2,60
josegaryancheta,1557,686,48,672
sicilian1998,1557,397,17,372
JezDV,1556,15131,1340,14494
flashfelix33,1555,1366,63,1312
Gokuuuuuu,1555,12555,537,11120
Oshima123,1554,6923,260,6653
jcboy26,1554,32,0,26
Ai_Mori,1553,99,3,59
benjirel40wWw,1553,390,9,314
Jobi0617,1552,439,32,338
Kosuke_N,1552,364,11,371
TetocoTuculo,1551,142,10,114
StreamHeat,1550,4345,256,4254
Tomogon,1550,505,60,563
GMOmarAbdalla,1550,440,25,347
takajek23,1549,681,19,640
chikafumihomma,1548,2536,141,2375
SD00010719,1547,469,39,407
motund,1546,,,
dingdong002,1546,342,24,321
made-in-tysland,1546,294,18,289
Mean-Mr-Mustard,1546,2824,231,2766
Arigato1618,1546,105,10,90
chessgeniousworld,1546,737,38,675
StupidBird333,1544,214,12,175
ILOVEDATES,1544,394,30,343
oldjude1987,1543,411,13,318
aim1324,1543,7162,392,7049
ballzyninja69,1543,28,0,5
LaughingPuffin,1542,262,9,230
ItsBigBrainTime,1542,2687,194,2591
Radio-Air-G,1542,415,21,407
uripushingpawns,1542,1032,49,968
Binh249,1542,29,1,19
manoky,1542,3470,151,3240
WLCtuoitho,1541,684,40,641
Schmitzipov,1541,35,2,34
zeroAlphak,1541,1387,186,1345
N4RUTO16,1540,116,9,76
csgo938csgo938,1540,210,3,132
Boa1110,1539,3239,177,3706
ChunkyMeatball,1538,570,47,505
cheesytimothy,1538,172,16,139
2486Evan,1538,1099,31,1060
featherjunior,1538,1646,24,1785
Yyyaaarrrooossslllaw,1537,25,2,35
yamasouu,1537,31,1,9
coaivnko,1537,54,2,38
mrt9917,1536,655,40,579
11hunter,1535,900,19,819
Specialized49,1534,4537,167,4726
nokamoto,1534,2086,80,1962
kylanchess,1532,789,51,797
money361,1531,133,12,108
hakeda,1530,741,33,703
Yel_23,1529,3285,153,3276
Sumeragi123,1529,25,0,0
emmayeager,1529,15,3,5
mabemabel,1528,1614,122,1667
glassorax,1528,1011,80,923
kisame9917,1528,2055,128,1910
Lucariorik,1527,417,22,398
HinaKawata,1527,1995,137,1916
diamlahbabi,1526,160,6,128
kirxner,1525,52972,3960,48992
geleth7025,1525,5779,74,5563
YellowF1ash,1524,,,
Ichika4,1524,2722,182,2641
MISAKA1,1524,71,5,72
artemisoftheblack,1523,49,2,30
sioya,1523,3438,170,3202
nimonoke,1522,679,43,618
Type3Kiryu,1522,76,3,35
AKAEthan,1522,1284,112,1243
arti_pvp1,1521,16,2,27
SugarSkittles,1521,4810,224,4779
japanesechessgamer,1521,440,24,399
i_itachi_i,1520,180,6,161
potatogrill,1520,238,20,186
Yuka_izawa,1519,186,1,44
Suzuki_Anna_03,1519,267,2,106
JulienRoyale,1518,1359,78,1158
Paulooka,1518,281,15,252
CartierAi,1517,380,26,301
2021_Jay,1517,479,22,419
jorge047,1516,373,9,224
Burezu,1516,5911,286,6606
JustShotaroKaneda,1516,13,1,12
Asylphix,1516,362,26,302
Norishi,1515,3985,285,3833
deez_knights_88,1515,53,1,9
WekChess,1515,781,59,512
BongedYourWorld,1515,307,27,280
simplylmk,1514,702,18,615
YujiroHanma69,1513,37,2,5
Cicada1616,1511,625,40,566
Gojo_Hatake,1511,101,4,73
ajaman9,1511,59,7,51
marcindigo,1510,3575,205,3431
PumpedCrayon,1510,8947,724,8935
ktcpaad37813486,1509,948,30,888
KINGZ-47,1509,1730,121,1715
jorgez123,1509,89,6,80
aoi_blue,1508,22,2,7
TakumaNishi,1508,4804,235,5153
K4waisaki,1508,249,19,159
Tgshduuren,1508,98,4,59
KouKunn,1508,133,13,113
Kishimichi,1508,435,24,387
Blunderingnoncy,1508,346,21,328
keitatimeleap,1507,7030,313,6913
VanishIntheDeepBlue,1506,26,2,19
Thap7,1505,327,28,262
Trylanterino46,1504,113,5,81
Yuto_12,1504,2615,41,2540
square1001,1504,1145,40,949
sasch77,1503,,,
SchizoFriendNic,1503,90,3,38
