Player name,Rating,Won,Draw,Lost
sconemonster,428,7,0,16
sashidoki,428,7,2,23
satoshihiramoto,428,1,0,2
MaxLuka,428,34,0,62
Cirno1929,427,1,0,2
KylianMessi,427,2,0,11
queensieaguilloso2,425,5,0,5
Kidskater69,462,2,0,7
Erik_Jahns_Fe,461,1,0,3
kilooooooooooo,461,11,0,17
hggghhhxfhgg,460,2,0,5
deku_2218,460,1,0,10
Keytao,460,1,1,1
babyspice_666,460,4,1,11
Itsupikiokami,460,10,4,11
FireLight_7,459,5,0,2
KevinWolves,459,67,48,96
S0PhiATMK,458,1,1,3
Julius_Joestar,458,2,0,2
Yumii666,458,0,1,2
natufo555,458,14,0,12
chesslover911XOXO,457,12,0,8
jfhutcherson,457,6,0,5
Nga1294,457,19,9,8
minminq,457,3,2,5
thewifeofzeus,456,0,0,3
lundu05,455,0,0,3
itsmesand,455,3,0,1
Shayan1985,455,6,0,6
dorkishangel47,455,0,1,7
toshi1046,453,5,0,2
Izunoha,452,0,1,2
Barno97,452,0,0,4
aldrzl,452,0,0,4
Khantki,452,2,0,2
Ayovadup,452,15,0,8
Rakamy,452,3,1,4
wuxianaisaii,452,2,0,2
King_Of_All-24,451,3,0,2
asianpasta58,451,0,0,3
alwansh,451,2,0,2
moritame1021,450,0,1,3
kekekekeee,450,2,0,4
oclostorm,449,7,0,18
ruijingwang,449,0,0,3
heydine,448,0,0,18
Themightyqui,448,0,1,5
GoEzPlz69,447,6,0,7
Kaki101,446,0,0,8
Zuko42,446,3,2,11
Treydrops,446,4,0,3
hihihid,446,4,1,5
samikiwi,445,6,1,5
sakuss,445,0,0,4
DTB_2EZ,444,2,0,1
RuneSchmune,444,0,1,4
tangotomo,444,1,0,3
BelaProtopopov,482,1,0,9
rdirks14,482,1,0,10
Nagini38,482,2,1,3
CCKERRY,481,1,1,8
RasazyL,481,7,0,9
Godkillha,481,1,0,5
SonicChess2021,481,120,4,154
002ee,480,0,0,5
onkelyounes,479,3,0,8
atupanman,479,11,8,2
alicesakayanagi04,479,1,1,1
HNT46,479,11,0,26
hinhinao5,478,3,0,13
ononon3,478,0,0,5
OmoshiroPasute,477,1,0,3
Hitoru_Rakenshin,477,3,0,3
yu_zu,477,1,0,2
masha7773,476,2,0,2
Stargazer1234,476,9,4,46
Nooble77,475,7,0,4
ban9ohan,475,29,1,18
uch_122,474,3,0,3
gaijin823,473,0,0,3
Tliz11,473,18,2,17
NotRoco,473,3,0,2
Samxgh,472,2,0,2
Ben10snutrido,472,1,0,3
mikkunn,472,3,0,1
ifnagchechesshindikiniss,471,1,1,2
superkoara,471,40,9,49
ken857,471,5,0,21
HenryBoogle,471,3,0,2
Tirby61,470,8,0,13
KendoJen,470,0,0,4
StanislauOmRa,470,32,2,28
agungeaw51,469,1,0,10
Micha_ella,469,4,0,25
Musasashi_Miyamoto,468,13,0,11
DokiDokiOtaku77,468,0,0,6
Tayara_Kata,468,0,0,4
Alzu1,468,2,0,2
Jaynannnn,468,14,0,18
kumichama,467,65,0,53
Hendosan,466,39,2,22
gilg0redh,466,1,0,11
Lue_Tsukizi,465,2,0,1
TMTM0630,465,1,0,9
lawliet0000000,464,3,0,31
soozzi,462,1,0,2
Tokyo-night89,462,1,0,7
Mischuschek,498,0,0,3
LuckyHukeHD,498,1,0,5
decco234,497,4,0,6
jest4r1,496,1,0,2
ChingChingChess,496,7,0,4
Baysaa1,496,2,0,1
Kobegooner,495,77,2,86
zu2chess,495,64,7,42
Jakealangalo1,495,1,0,5
YetAnotherSheep,495,1,0,6
eridall,494,8,6,49
FFFadeDDD,494,2,1,5
Sarya888,494,0,1,4
TanTanBoys,494,2,0,1
