Player name,Rating,Won,Draw,Lost,Joined,Last Online,Scraping time,Last Online chess.com server time
OnayM,879,28.0,4.0,11.0,"Nov 9, 2016",Just now,2023-04-05 05:11:05,2023-04-04 10:11:05
calotengoo,868,19.0,2.0,47.0,"Sep 10, 2021",8 days ago,2023-04-04 06:29:07,2023-03-26 11:29:07
thisisthewhale,858,13.0,2.0,30.0,"Aug 14, 2019",11 hours ago,2023-04-03 07:27:00,2023-04-02 01:27:00
tenshi1234,845,29.0,4.0,39.0,"Mar 15, 2021","Aug 24, 2021",2023-04-04 18:46:09,2021-08-24 00:00:00
coco77551,844,20.0,2.0,45.0,"Jan 2, 2020","Feb 5, 2022",2023-04-03 11:39:22,2022-02-05 00:00:00
Sandy0520,830,12.0,4.0,6.0,"Oct 5, 2022",3 hours ago,2023-04-03 15:11:12,2023-04-02 17:11:12
Meisayoutuber,823,6.0,0.0,15.0,"Mar 9, 2019",2 days ago,2023-04-04 11:11:37,2023-04-01 16:11:37
uyutaso,819,11.0,0.0,35.0,"Aug 23, 2021",3 days ago,2023-04-03 09:11:14,2023-03-30 14:11:14
naytica,799,9.0,0.0,24.0,"Dec 26, 2017","Jan 19, 2023",2023-04-03 15:08:09,2023-01-19 00:00:00
Same_STand_JoTaro,779,31.0,6.0,28.0,"Apr 4, 2020",11 days ago,2023-04-02 22:21:28,2023-03-22 03:21:28
zhlee552,777,10.0,1.0,31.0,"Mar 14, 2015",4 days ago,2023-04-04 10:55:32,2023-03-30 15:55:32
NarutoUzumaki04,753,7.0,3.0,21.0,"Nov 13, 2021",1 hour ago,2023-04-02 23:42:18,2023-04-02 03:42:18
dream_eater02,750,38.0,0.0,50.0,"Apr 10, 2020",Online Now,2023-04-03 02:54:31,2023-04-02 07:54:31
khasar183,730,24.0,3.0,52.0,"Dec 30, 2020","Feb 18, 2023",2023-04-04 06:07:14,2023-02-18 00:00:00
meripares,723,7.0,3.0,17.0,"Nov 5, 2020",9 days ago,2023-04-03 00:54:28,2023-03-24 05:54:28
Wolf_Charli,723,4.0,2.0,15.0,"Mar 21, 2020",Just now,2023-04-04 09:07:05,2023-04-03 14:07:05
fatBatman123,692,14.0,0.0,19.0,"Oct 25, 2018",1 hour ago,2023-04-03 03:55:09,2023-04-02 07:55:09
riku38,684,9.0,0.0,16.0,"Apr 8, 2022",1 day ago,2023-04-04 09:03:13,2023-04-02 14:03:13
Kira-Shinigami,667,26.0,3.0,27.0,"Jan 29, 2023",10 hours ago,2023-04-03 14:48:44,2023-04-02 09:48:44
x4on,665,,,,"Jan 30, 2023",4 days ago,2023-04-03 17:45:39,2023-03-29 22:45:39
Boramaru,659,111.0,2.0,62.0,"Jun 26, 2021",13 hours ago,2023-04-03 10:25:33,2023-04-02 02:25:33
chess171212,627,6.0,0.0,54.0,"Jan 23, 2021",Just now,2023-04-05 01:26:58,2023-04-04 06:26:58
Guber02,623,64.0,2.0,112.0,"Aug 21, 2021",3 hours ago,2023-04-03 14:10:06,2023-04-02 16:10:06
iiiviiil,621,12.0,1.0,31.0,"Feb 17, 2021",13 hours ago,2023-04-03 04:03:25,2023-04-01 20:03:25
marotani,620,37.0,10.0,20.0,"May 18, 2020","May 7, 2022",2023-04-05 23:32:10,2022-05-07 00:00:00
Sp_oken,593,17.0,3.0,6.0,"Sep 10, 2020",1 day ago,2023-04-03 16:03:37,2023-04-01 21:03:37
shumailunch,567,3.0,0.0,21.0,"Oct 20, 2022",Just now,2023-04-04 08:03:39,2023-04-03 13:03:39
dedustinal,561,8.0,3.0,27.0,"Jun 15, 2019",2 days ago,2023-04-03 21:41:23,2023-04-01 02:41:23
lilgabe223,546,7.0,1.0,30.0,"Sep 8, 2020",Just now,2023-04-04 09:05:59,2023-04-03 14:05:59
SadMongoose2,486,0.0,3.0,26.0,"Mar 29, 2021",1 hour ago,2023-04-03 00:47:59,2023-04-02 04:47:59
takamina_2,372,12.0,2.0,20.0,"Mar 21, 2021","Feb 1, 2023",2023-04-05 23:32:14,2023-02-01 00:00:00
NickJaJa,307,11.0,4.0,29.0,"Sep 26, 2021","Feb 8, 2023",2023-04-05 17:22:18,2023-02-08 00:00:00
