Player name,Rating,Won,Draw,Lost,Joined,Last Online,Scraping time,Last Online chess.com server time
B_o_l_o_g_n_aJun,2057,259.0,23.0,109.0,"Aug 25, 2022","Jan 23, 2023",2023-04-02 14:02:30,2023-01-23 00:00:00
DisturbingChild,2057,1177.0,97.0,1034.0,"Feb 18, 2022",13 hours ago,2023-04-02 14:02:37,2023-04-01 06:02:37
kanapov2,2050,438.0,18.0,219.0,"Jan 4, 2023",9 hours ago,2023-04-02 14:02:43,2023-04-01 10:02:43
HakaiNoTatsujin,2050,339.0,16.0,237.0,"Oct 22, 2021",9 days ago,2023-04-02 14:02:50,2023-03-23 19:02:50
Green10107,2048,781.0,107.0,642.0,"Nov 14, 2013",1 hour ago,2023-04-02 14:02:56,2023-04-01 18:02:56
Ikemensama,2047,568.0,87.0,510.0,"Apr 10, 2020",1 hour ago,2023-04-02 14:03:03,2023-04-01 18:03:03
Nerimath,2047,192.0,13.0,81.0,"Mar 27, 2021",Online Now,2023-04-02 14:03:09,2023-04-01 19:03:09
Lazer787,2041,401.0,31.0,281.0,"Mar 2, 2021",1 hour ago,2023-04-02 14:03:16,2023-04-01 18:03:16
bebikotan,2038,804.0,117.0,714.0,"Oct 28, 2016",1 day ago,2023-04-02 14:03:22,2023-03-31 19:03:22
chernobylpower,2036,5121.0,563.0,4395.0,"Jun 1, 2011",16 hours ago,2023-04-02 14:03:29,2023-04-01 03:03:29
oskar_hall,2036,647.0,88.0,555.0,"Sep 13, 2015",4 hours ago,2023-04-02 14:03:36,2023-04-01 15:03:36
AxelMurdock,2033,561.0,39.0,277.0,"Aug 10, 2020",8 days ago,2023-04-02 14:03:42,2023-03-24 19:03:42
Chronomosis,2029,148.0,5.0,64.0,"Jan 26, 2023","Feb 11, 2023",2023-04-02 14:03:48,2023-02-11 00:00:00
Erina_Chan,2028,1569.0,129.0,2064.0,"Dec 19, 2020",1 day ago,2023-04-02 14:03:55,2023-03-31 19:03:55
YamaikoAkemi,2025,20.0,2.0,5.0,"Jan 29, 2023",4 days ago,2023-04-02 14:04:02,2023-03-28 19:04:02
MeijiXX,2022,4916.0,520.0,5499.0,"Oct 18, 2011",18 hours ago,2023-04-02 14:04:08,2023-04-01 01:04:08
P4R4N01D4NDR01D,2020,174.0,19.0,142.0,"Aug 14, 2022",8 hours ago,2023-04-02 14:04:15,2023-04-01 11:04:15
ryouyin,2017,5722.0,387.0,5675.0,"Feb 15, 2011","Mar 2, 2023",2023-04-02 14:04:21,2023-03-02 00:00:00
Krimmsson,2017,90.0,10.0,60.0,"Jun 21, 2017",13 days ago,2023-04-02 14:04:28,2023-03-19 19:04:28
flyhighponta,2016,8301.0,1270.0,7006.0,"May 30, 2012",1 day ago,2023-04-02 14:04:34,2023-03-31 19:04:34
kH4winKfVxiJhVWs,2015,142.0,10.0,81.0,"May 29, 2020",4 hours ago,2023-04-02 14:04:41,2023-04-01 15:04:41
K-a-k-a-s-h-i,2015,266.0,14.0,159.0,"Sep 25, 2022",10 hours ago,2023-04-02 14:04:47,2023-04-01 09:04:47
Melkor_14,2013,2975.0,302.0,2969.0,"Jul 6, 2009",9 hours ago,2023-04-02 14:04:55,2023-04-01 10:04:55
Wataru17,2011,848.0,57.0,720.0,"Mar 17, 2020",1 day ago,2023-04-02 14:05:01,2023-03-31 19:05:01
zxc_mnm,2011,120.0,3.0,21.0,"Dec 24, 2022","Feb 6, 2023",2023-04-02 14:05:08,2023-02-06 00:00:00
star_kurosaru,2010,3387.0,256.0,3475.0,"Jul 2, 2012",1 day ago,2023-04-02 14:05:14,2023-03-31 19:05:14
RahTNM,2010,,,,"Nov 23, 2021",Just now,2023-04-02 14:05:20,2023-04-01 19:05:20
broncobally,2009,15263.0,1567.0,13856.0,"Aug 11, 2012",1 day ago,2023-04-02 14:05:27,2023-03-31 19:05:27
asuragi,2007,76.0,2.0,24.0,"Jan 13, 2023",8 hours ago,2023-04-02 14:05:34,2023-04-01 11:05:34
pojican,2004,385.0,25.0,317.0,"Dec 26, 2020",4 days ago,2023-04-02 14:05:40,2023-03-28 19:05:40
chess0684,2002,34.0,3.0,26.0,"Aug 11, 2021",27 days ago,2023-04-02 14:05:47,2023-03-05 19:05:47
