Player name,Joined,Last Online,Scraping time,Last Online chess.com server time
mekki42,"Jul 8, 2022",5 hours ago,2023-04-02 14:07:05,2023-04-01 14:07:05
tsetsenkhuu,"Apr 30, 2012",2 days ago,2023-04-02 14:07:12,2023-03-30 19:07:12
realelhammondo,"Oct 17, 2015",1 day ago,2023-04-02 14:07:18,2023-03-31 19:07:18
hanymazn57,"Nov 1, 2019",2 hours ago,2023-04-02 14:07:25,2023-04-01 17:07:25
EliteHo3,"Oct 23, 2015",1 day ago,2023-04-02 14:07:32,2023-03-31 19:07:32
ni2482,"May 24, 2012",5 minutes ago,2023-04-02 14:07:38,2023-04-01 19:02:38
neverdieee,"Jan 24, 2017",28 days ago,2023-04-02 14:07:45,2023-03-04 19:07:45
Miss-Tical,"Aug 15, 2022",17 minutes ago,2023-04-02 14:07:51,2023-04-01 18:50:51
Reasonable_Leopard,"Feb 12, 2017",16 hours ago,2023-04-02 14:07:58,2023-04-01 03:07:58
Ryuzaki1173,"Jan 21, 2023",22 days ago,2023-04-02 14:08:04,2023-03-10 19:08:04
NoisyDragon,"Aug 13, 2020",29 minutes ago,2023-04-02 14:08:11,2023-04-01 18:39:11
sora1066,"Dec 5, 2022",2 days ago,2023-04-02 14:08:18,2023-03-30 19:08:18
GanyuMains,"Jul 26, 2022","Mar 1, 2023",2023-04-02 14:08:24,2023-03-01 00:00:00
FISHER20,"Sep 17, 2014",10 hours ago,2023-04-02 14:08:31,2023-04-01 09:08:31
Schakkamura,"Jan 8, 2020",3 hours ago,2023-04-02 14:08:37,2023-04-01 16:08:37
IM-Houdini,"Dec 4, 2021","Jan 27, 2023",2023-04-02 14:08:44,2023-01-27 00:00:00
kiula1101,"Jan 16, 2020",2 hours ago,2023-04-02 14:08:50,2023-04-01 17:08:50
samurai_245,"Oct 19, 2020",12 hours ago,2023-04-02 14:08:57,2023-04-01 07:08:57
MikaelBjarki,"Oct 6, 2015",6 hours ago,2023-04-02 14:09:03,2023-04-01 13:09:03
bong1101,"Oct 22, 2019",1 hour ago,2023-04-02 14:09:10,2023-04-01 18:09:10
BackPawn52,"Sep 16, 2022",38 minutes ago,2023-04-02 14:09:16,2023-04-01 18:31:16
h8gi,"Sep 2, 2019",2 hours ago,2023-04-02 14:09:23,2023-04-01 17:09:23
TetsuroHoshino,"Jun 18, 2021",4 hours ago,2023-04-02 14:09:29,2023-04-01 15:09:29
Nitschnicolas,"Feb 5, 2023",1 day ago,2023-04-02 14:09:36,2023-03-31 19:09:36
Azleaf-007,"Jul 6, 2017",2 days ago,2023-04-02 14:09:43,2023-03-30 19:09:43
chikuwasenpai,"Nov 9, 2015",17 days ago,2023-04-02 14:09:49,2023-03-15 19:09:49
shaghayegh1390,"Jan 17, 2021",18 hours ago,2023-04-02 14:09:56,2023-04-01 01:09:56
cuteemeow,"Jan 7, 2023",10 days ago,2023-04-02 14:10:02,2023-03-22 19:10:02
Inayat_0510,"Mar 16, 2020",8 days ago,2023-04-02 14:10:09,2023-03-24 19:10:09
ayuss77,"Jan 2, 2023",7 hours ago,2023-04-02 14:10:15,2023-04-01 12:10:15
kawaki987,"Apr 30, 2022",1 day ago,2023-04-02 14:10:22,2023-03-31 19:10:22
karlatan01,"Mar 19, 2019",12 hours ago,2023-04-02 14:10:29,2023-04-01 07:10:29
Morijiro,"Nov 29, 2016",10 days ago,2023-04-02 14:10:35,2023-03-22 19:10:35
berserk1320,"Jan 23, 2022",11 hours ago,2023-04-02 14:10:42,2023-04-01 08:10:42
Hikaru_Shindo,"Aug 26, 2015",3 days ago,2023-04-02 14:10:48,2023-03-29 19:10:48
Party_Of_One,"Dec 25, 2022",15 minutes ago,2023-04-02 14:10:55,2023-04-01 18:55:55
Kakashi89,"Jun 17, 2016",5 hours ago,2023-04-02 14:11:02,2023-04-01 14:11:02
slutfi,"Dec 24, 2011",2 hours ago,2023-04-02 14:11:08,2023-04-01 17:11:08
TheLoneWolf04,"Jan 30, 2018",1 day ago,2023-04-02 14:11:15,2023-03-31 19:11:15
YuAisu,"Dec 10, 2016",14 days ago,2023-04-02 14:11:21,2023-03-18 19:11:21
ONI_hunter,"May 19, 2020",9 hours ago,2023-04-02 14:11:28,2023-04-01 10:11:28
YellowF1ash,"Sep 30, 2020",7 days ago,2023-04-02 14:11:35,2023-03-25 19:11:35
gabrielle0412,"Jan 25, 2014",1 day ago,2023-04-02 14:11:41,2023-03-31 19:11:41
Rvl_Leader,"Oct 12, 2016",11 hours ago,2023-04-02 14:11:48,2023-04-01 08:11:48
yuuki600905,"Dec 7, 2020",5 days ago,2023-04-02 14:11:55,2023-03-27 19:11:55
Sheogorad,"Feb 6, 2022","Nov 12, 2022",2023-04-02 14:12:01,2022-11-12 00:00:00
Lycaon-Pictus,"Jun 11, 2020",Online Now,2023-04-02 14:12:08,2023-04-01 19:12:08
Ryovichi,"Nov 22, 2022",12 hours ago,2023-04-02 14:12:15,2023-04-01 07:12:15
ndodos,"Nov 19, 2018",6 hours ago,2023-04-02 14:12:21,2023-04-01 13:12:21
elaurente23,"Jul 27, 2020",13 days ago,2023-04-02 14:12:28,2023-03-19 19:12:28
Arth_07,"Oct 9, 2017",Online Now,2023-04-02 14:12:35,2023-04-01 19:12:35
tw2r583,"Sep 25, 2020",11 hours ago,2023-04-02 14:12:41,2023-04-01 08:12:41
luciano_kayanoki,"May 31, 2012","Jan 23, 2023",2023-04-02 14:12:48,2023-01-23 00:00:00
Kritanta,"Jan 8, 2020",1 hour ago,2023-04-02 14:12:55,2023-04-01 18:12:55
Queennuu,"Nov 24, 2022","Feb 9, 2023",2023-04-02 14:13:02,2023-02-09 00:00:00
miscacctxx,"Mar 16, 2019","Nov 16, 2022",2023-04-02 14:13:08,2022-11-16 00:00:00
AncientSquash,"Jan 23, 2017",23 hours ago,2023-04-02 14:13:15,2023-03-31 20:13:15
DeepBlueXS,"Nov 7, 2015",3 hours ago,2023-04-02 14:13:22,2023-04-01 16:13:22
Shadowaoioni,"Mar 5, 2021",Online Now,2023-04-02 14:13:28,2023-04-01 19:13:28
o0_KnightsTale_0o,"Feb 2, 2021","Feb 22, 2023",2023-04-02 14:13:35,2023-02-22 00:00:00
AkumaPumpkin,"May 27, 2019",1 hour ago,2023-04-02 14:13:41,2023-04-01 18:13:41
Pekoooora,"Mar 11, 2019","Oct 28, 2021",2023-04-02 14:13:48,2021-10-28 00:00:00
kamiyakumo,"Mar 3, 2009",10 hours ago,2023-04-02 14:13:55,2023-04-01 09:13:55
